id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
106009,AR01057,"Beuys, Joseph",artist,747,Joseph Beuys. Halbzeit,1984,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1984,2009,image: 491 x 296 mm,491,296,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01057_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-halbzeit-ar01057
106010,AR01058,"Beuys, Joseph",artist,747,"Joseph Beuys: Westfalen-Blatt. Galerie Jesse, Bielefeld",1985,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1985,2009,image: 549 x 359 mm,549,359,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01058_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-westfalen-blatt-galerie-jesse-bielefeld-ar01058
106011,AR01059,"Beuys, Joseph",artist,747,"Joseph Beuys. Galerie Monschauer, Koln",1985,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1985,2009,image: 533 x 391 mm,533,391,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01059_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-galerie-monschauer-koln-ar01059
106012,AR01060,"Beuys, Joseph",artist,747,Joseph Beuys: Aktive Neutralität. Vortrag - Diskussion - Aktivitäten. Stadthofsaal Rorschach,1985,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1985,2009,image: 539 x 338 mm,539,338,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01060_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-aktive-neutralitat-vortrag-diskussion-aktivitaten-stadthofsaal-ar01060
106013,AR01061,"Beuys, Joseph",artist,747,Tag X. Verhindert die Atommultransporte ins Wendland,1985,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1985,2009,image: 591 x 418 mm,591,418,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01061_8.jpg,http://www.tate.org.uk/art/artworks/beuys-tag-x-verhindert-die-atommultransporte-ins-wendland-ar01061
106014,AR01062,"Beuys, Joseph",artist,747,Joseph Beuys: Ölfarben 1936 - 1965. Edition Heiner Bastian,1981,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1981,2009,image: 596 x 393 mm,596,393,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01062_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-olfarben-1936-1965-edition-heiner-bastian-ar01062
106015,AR01063,"Beuys, Joseph",artist,747,Die Grünen: ‘Kultur in Der Grosstadt’,date not known,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,,2009,image: 591 x 418 mm,591,418,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01063_8.jpg,http://www.tate.org.uk/art/artworks/beuys-die-grunen-kultur-in-der-grosstadt-ar01063
106016,AR01064,"Beuys, Joseph",artist,747,Joseph Beuys. Multiples,1982,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1982,2009,image: 589 x 395 mm,589,395,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01064_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-multiples-ar01064
106017,AR01065,"Beuys, Joseph",artist,747,Joseph Beuys. GFK Kreisheimatmuseum,1981,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1981,2009,image: 550 x 393 mm,550,393,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01065_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-gfk-kreisheimatmuseum-ar01065
106019,AR01066,"Beuys, Joseph",artist,747,Tip Magazine. Das Magazine Für Alternative Kultur,1992,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1992,2009,image: 592 x 418 mm,592,418,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01066_8.jpg,http://www.tate.org.uk/art/artworks/beuys-tip-magazine-das-magazine-fur-alternative-kultur-ar01066
106020,AR01067,"Beuys, Joseph",artist,747,Joseph Beuys. Zeichnungen Kunsthalle Bielefeld 1980,date not known,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,,2009,image: 603 x 423 mm,603,423,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01067_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-zeichnungen-kunsthalle-bielefeld-1980-ar01067
106021,AR01068,"Beuys, Joseph",artist,747,"Das Ist Noch Nicht Gegessen. Bild-Kunst, Bonn",1992,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1992,2009,image: 593 x 481 mm,593,481,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01068_8.jpg,http://www.tate.org.uk/art/artworks/beuys-das-ist-noch-nicht-gegessen-bild-kunst-bonn-ar01068
106023,AR01069,"Beuys, Joseph",artist,747,"Joseph Beuys: Tafel - Objekte - Graphiken. Galerie Bernhard Link, Düsseldorf",1990,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1990,2009,image: 573 x 388 mm,573,388,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01069_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-tafel-objekte-graphiken-galerie-bernhard-link-dusseldorf-ar01069
106024,AR01070,"Beuys, Joseph",artist,747,Joseph Beuys: Zeichnungen zur Plastischen Threorie. Museum der Stadt Langen.,1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 557 x 400 mm,557,400,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01070_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-zeichnungen-zur-plastischen-threorie-museum-der-stadt-langen-ar01070
106025,AR01071,"Beuys, Joseph",artist,747,Landschaftsbilder. Kaiser Wilhelm Museum,1990,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1990,2009,image: 586 x 417 mm,586,417,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01071_8.jpg,http://www.tate.org.uk/art/artworks/beuys-landschaftsbilder-kaiser-wilhelm-museum-ar01071
106026,AR01072,"Beuys, Joseph",artist,747,"Joseph Beuys - Gang Bang - Fluxus - 91, Düsseldorf",1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 425 x 370 mm,425,370,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01072_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-gang-bang-fluxus-91-dusseldorf-ar01072
106027,AR01073,"Beuys, Joseph",artist,747,documenta 7 expects every man to do his duty,1982,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1982,2009,image: 555 x 395 mm,555,395,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01073_8.jpg,http://www.tate.org.uk/art/artworks/beuys-documenta-7-expects-every-man-to-do-his-duty-ar01073
106028,AR01074,"Beuys, Joseph",artist,747,Suche nach dem Sinn,1982,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1982,2009,image: 450 x 643 mm,450,643,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01074_8.jpg,http://www.tate.org.uk/art/artworks/beuys-suche-nach-dem-sinn-ar01074
106029,AR01075,"Beuys, Joseph",artist,747,Joseph Beuys: Plastische Theorie. Regionalmuseum Xanten am Dom,1987,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1987,2009,image: 549 x 401 mm,549,401,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01075_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-plastische-theorie-regionalmuseum-xanten-am-dom-ar01075
106030,AR01076,"Beuys, Joseph",artist,747,"Beuys vor Beuys. Palacio de Sastago, Zaragoza and Casa del Monte, Madrid",1990,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1990,2009,image: 598 x 412 mm,598,412,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01076_8.jpg,http://www.tate.org.uk/art/artworks/beuys-beuys-vor-beuys-palacio-de-sastago-zaragoza-and-casa-del-monte-madrid-ar01076
106031,AR01077,"Beuys, Joseph",artist,747,Joseph Beuys. Bonn braucht Kunst Halle,date not known,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,,2009,image: 837 x 590 mm,837,590,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01077_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-bonn-braucht-kunst-halle-ar01077
106032,AR01078,"Beuys, Joseph",artist,747,"Joseph Beuys and Jonas Hafner. Galerie Beck, Augsburg",1984,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1984,2009,image: 843 x 582 mm,843,582,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01078_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-and-jonas-hafner-galerie-beck-augsburg-ar01078
106033,AR01079,"Beuys, Joseph",artist,747,Gespräch über bäume. Wein,1983,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1983,2009,image: 838 x 587 mm,838,587,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01079_8.jpg,http://www.tate.org.uk/art/artworks/beuys-gesprach-uber-baume-wein-ar01079
106034,AR01080,"Beuys, Joseph",artist,747,Neue Zeichnungen Kunstmuseum Basel,1983,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1983,2009,image: 837 x 525 mm,837,525,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01080_8.jpg,http://www.tate.org.uk/art/artworks/beuys-neue-zeichnungen-kunstmuseum-basel-ar01080
106035,AR01081,"Beuys, Joseph",artist,747,J Beuys. Difesa Della Natura,1984,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1984,2009,image: 560 x 746 mm,560,746,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01081_8.jpg,http://www.tate.org.uk/art/artworks/beuys-j-beuys-difesa-della-natura-ar01081
106036,AR01082,"Beuys, Joseph",artist,747,Joseph Beuys. 57 Zeichnungen und die Skulptur Der Berkönig,1983,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1983,2009,image: 714 x 380 mm,714,380,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01082_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-57-zeichnungen-und-die-skulptur-der-berkonig-ar01082
106037,AR01083,"Beuys, Joseph",artist,747,Sammlung Ulbricht mit den Neuerwerbungen,1981–3,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1981,2009,image: 765 x 525 mm,765,525,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01083_8.jpg,http://www.tate.org.uk/art/artworks/beuys-sammlung-ulbricht-mit-den-neuerwerbungen-ar01083
106038,AR01084,"Beuys, Joseph",artist,747,Joseph Beuys. Frauen Stadt-Sparkasse Dusseldorf,1982,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1982,2009,image: 822 x 578 mm,822,578,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01084_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-frauen-stadt-sparkasse-dusseldorf-ar01084
106039,AR01085,"Beuys, Joseph",artist,747,"Joseph Beuys. Goldkuchen, Plakate Vergolderei Kunsthandlung Silvia Menzel",1982,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1982,2009,image: 810 x 586 mm,810,586,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01085_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-goldkuchen-plakate-vergolderei-kunsthandlung-silvia-menzel-ar01085
106041,AR01086,"Beuys, Joseph",artist,747,Joseph Beuys: Plastische Bilder und Wasserfarbenblätter. Galerie der Stadt Kornwestheim.,1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 837 x 592 mm,837,592,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01086_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-plastische-bilder-und-wasserfarbenblatter-galerie-der-stadt-ar01086
106042,AR01087,"Beuys, Joseph",artist,747,"Beuys 1950 - 1963. Getlinger Photographiert, Stadtisches Museum Kalkar",1990,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1990,2009,image: 842 x 604 mm,842,604,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01087_8.jpg,http://www.tate.org.uk/art/artworks/beuys-beuys-1950-1963-getlinger-photographiert-stadtisches-museum-kalkar-ar01087
106043,AR01088,"Beuys, Joseph",artist,747,"Kultur ist..., Kassel",1989,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1989,2009,image: 857 x 609 mm,857,609,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01088_8.jpg,http://www.tate.org.uk/art/artworks/beuys-kultur-ist-kassel-ar01088
106044,AR01089,"Beuys, Joseph",artist,747,Joseph Beuys: Zeichnungen - Skulpturen - Objekte. Düsseldorf,1988,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1988,2009,image: 837 x 591 mm,837,591,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01089_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-zeichnungen-skulpturen-objekte-dusseldorf-ar01089
106045,AR01090,"Beuys, Joseph",artist,747,Imaginäres Museum - Kabinette 1. Kunstverein Braunschweig,1989,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1989,2009,image: 753 x 559 mm,753,559,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01090_8.jpg,http://www.tate.org.uk/art/artworks/beuys-imaginares-museum-kabinette-1-kunstverein-braunschweig-ar01090
106046,AR01091,"Beuys, Joseph",artist,747,"Joseph Beuys: Mataré und sein Kreis. Galerie Norbert Blaeser, Düsseldorf",1988,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1988,2009,image: 780 x 551 mm,780,551,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01091_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-matare-und-sein-kreis-galerie-norbert-blaeser-dusseldorf-ar01091
106047,AR01092,"Beuys, Joseph",artist,747,Brennpunkt Düsseldorf 1962 - 1987. Kunstmuseum Düsseldorf,1987,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1987,2009,image: 720 x 450 mm,720,450,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01092_8.jpg,http://www.tate.org.uk/art/artworks/beuys-brennpunkt-dusseldorf-1962-1987-kunstmuseum-dusseldorf-ar01092
106048,AR01093,"Beuys, Joseph",artist,747,"das xx. jahrhundert ein jahrhundert kunst in Deutschland. Stadtraum, Berlin",1999–2000,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1999,2009,image: 837 x 575 mm,837,575,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01093_8.jpg,http://www.tate.org.uk/art/artworks/beuys-das-xx-jahrhundert-ein-jahrhundert-kunst-in-deutschland-stadtraum-berlin-ar01093
106049,AR01094,"Beuys, Joseph",artist,747,Joseph Beuys: The Secret Block for the Secret Person in Ireland. Kunsthalle Tübingen,2001,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,2001,2009,image: 801 x 467 mm,801,467,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01094_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-the-secret-block-for-the-secret-person-in-ireland-kunsthalle-tubingen-ar01094
106050,AR01095,"Beuys, Joseph",artist,747,Beuys. Applied Arts / Contemporary Arts. Mak-Ausstellungshalle,2000,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,2000,2009,image: 837 x 593 mm,837,593,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01095_8.jpg,http://www.tate.org.uk/art/artworks/beuys-beuys-applied-arts-contemporary-arts-mak-ausstellungshalle-ar01095
106051,AR01096,"Beuys, Joseph",artist,747,Joseph Beuys - Plakate,1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 798 x 559 mm,798,559,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01096_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-plakate-ar01096
106052,AR01097,"Beuys, Joseph",artist,747,Brenn Punkt 2. 1970 - 1991. Kunstmuseum Düsseldorf.,1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 837 x 592 mm,837,592,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01097_8.jpg,http://www.tate.org.uk/art/artworks/beuys-brenn-punkt-2-1970-1991-kunstmuseum-dusseldorf-ar01097
106053,AR01098,"Beuys, Joseph",artist,747,Beuys: Manresa. Kunst-Station Sankt Peter,1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 841 x 591 mm,841,591,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01098_8.jpg,http://www.tate.org.uk/art/artworks/beuys-beuys-manresa-kunst-station-sankt-peter-ar01098
106054,AR01099,"Beuys, Joseph",artist,747,"Beuys: Plakate. Bayerische  Staatsbibliothek, Munich",1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 837 x 592 mm,837,592,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01099_8.jpg,http://www.tate.org.uk/art/artworks/beuys-beuys-plakate-bayerische-staatsbibliothek-munich-ar01099
106055,AR01100,"Beuys, Joseph",artist,747,"Joseph Beuys: A Private Collection. Stadthaus Klagenfurt, Theatreplatz 3, Künstlerhaus, Goethepark 1.",1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 808 x 565 mm,808,565,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01100_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-a-private-collection-stadthaus-klagenfurt-theatreplatz-3-kunstlerhaus-ar01100
106056,AR01101,"Beuys, Joseph",artist,747,Joseph Beuys: Zeichnungen und Wasserfarbenblätter. Dortmunder Kunstverein,1991,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1991,2009,image: 775 x 542 mm,775,542,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01101_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-zeichnungen-und-wasserfarbenblatter-dortmunder-kunstverein-ar01101
106057,AR01102,"Beuys, Joseph",artist,747,Beuys. Kestner-Gesellschaft. Hannover,1990,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1990,2009,image: 820 x 592 mm,820,592,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01102_8.jpg,http://www.tate.org.uk/art/artworks/beuys-beuys-kestner-gesellschaft-hannover-ar01102
106058,AR01103,"Beuys, Joseph",artist,747,‘Rettet die Wahner Heide’,1980,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1980,2009,image: 712 x 535 mm,712,535,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01103_8.jpg,http://www.tate.org.uk/art/artworks/beuys-rettet-die-wahner-heide-ar01103
106059,AR01104,"Beuys, Joseph",artist,747,"Der Galerie-Verien, Munich, 1965 - 90",1990,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1990,2009,image: 724 x 452 mm,724,452,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01104_8.jpg,http://www.tate.org.uk/art/artworks/beuys-der-galerie-verien-munich-1965-90-ar01104
106060,AR01105,"Beuys, Joseph",artist,747,Getlinger Photographiert Beuys 1950 - 63.,date not known,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,,2009,image: 731 x 404 mm,731,404,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01105_8.jpg,http://www.tate.org.uk/art/artworks/beuys-getlinger-photographiert-beuys-1950-63-ar01105
106061,AR01106,"Beuys, Joseph",artist,747,Manifest im Kunstverein Hannover. Diskussion mit Beuys ...,1972,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1972,2009,image: 807 x 593 mm,807,593,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01106_8.jpg,http://www.tate.org.uk/art/artworks/beuys-manifest-im-kunstverein-hannover-diskussion-mit-beuys-ar01106
106062,AR01107,"Beuys, Joseph",artist,747,"Joseph Beuys, Landschaften.",1984,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1984,2009,image: 836 x 592 mm,836,592,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01107_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-landschaften-ar01107
106063,AR01108,"Beuys, Joseph",artist,747,"Joseph Beuys. Kunstverein, Hamburg",1985,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1985,2009,image: 838 x 593 mm,838,593,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01108_8.jpg,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-kunstverein-hamburg-ar01108
106064,AR01109,"Beuys, Joseph",artist,747,"Multiples 1968 - 1985. New Residency, Bamberg",1985,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1985,2009,image: 838 x 588 mm,838,588,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01109_8.jpg,http://www.tate.org.uk/art/artworks/beuys-multiples-1968-1985-new-residency-bamberg-ar01109
106065,AR01110,"Beuys, Joseph",artist,747,"Beuys zu Ehren. Lenbachhaus, Munich",1986,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1986,2009,image: 842 x 592 mm,842,592,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR01110_8.jpg,http://www.tate.org.uk/art/artworks/beuys-beuys-zu-ehren-lenbachhaus-munich-ar01110
